sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
Probability and Statistics,10.64 MB,,https://ocw.mit.edu/courses/political-science/17-872-quantitative-research-in-political-science-and-public-policy-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/17/17-872-spring-2004/17-872-spring-2004.zip,Mathematics,Quantitative Research in Political Science and Public Policy,Political Science,17-872-quantitative-research-in-political-science-and-public-policy-spring-2004,political-science
Topology and Geometry,6.49 MB,,https://ocw.mit.edu/courses/mathematics/18-966-geometry-of-manifolds-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-966-spring-2007/18-966-spring-2007.zip,Mathematics,Geometry of Manifolds,Mathematics,18-966-geometry-of-manifolds-spring-2007,mathematics
Probability and Statistics,13.31 MB,,https://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-465-spring-2007/18-465-spring-2007.zip,Mathematics,Topics in Statistics: Statistical Learning Theory,Mathematics,18-465-topics-in-statistics-statistical-learning-theory-spring-2007,mathematics
Calculus,30.52 MB,,https://ocw.mit.edu/courses/mathematics/18-02-multivariable-calculus-fall-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-02-fall-2007/18-02-fall-2007.zip,Mathematics,Multivariable Calculus,Mathematics,18-02-multivariable-calculus-fall-2007,mathematics
Applied Mathematics,51.54 MB,,https://ocw.mit.edu/courses/music-and-theater-arts/21m-380-music-and-technology-algorithmic-and-generative-music-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21M/21m-380-spring-2010/21m-380-spring-2010.zip,Mathematics,Music and Technology: Algorithmic and Generative Music,Music and Theater Arts,21m-380-music-and-technology-algorithmic-and-generative-music-spring-2010,music-and-theater-arts
Probability and Statistics,31.95 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-0002-fall-2016/6-0002-fall-2016.zip,Mathematics,Introduction to Computational Thinking and Data Science,Electrical Engineering and Computer Science,6-0002-introduction-to-computational-thinking-and-data-science-fall-2016,electrical-engineering-and-computer-science
Probability and Statistics,13.36 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-854-introduction-to-manufacturing-systems-fall-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-854-fall-2016/2-854-fall-2016.zip,Mathematics,Introduction to Manufacturing Systems,Mechanical Engineering,2-854-introduction-to-manufacturing-systems-fall-2016,mechanical-engineering
Probability and Statistics,26.62 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-830j-control-of-manufacturing-processes-sma-6303-spring-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-830j-spring-2008/2-830j-spring-2008.zip,Mathematics,Control of Manufacturing Processes (SMA 6303),Mechanical Engineering,2-830j-control-of-manufacturing-processes-sma-6303-spring-2008,mechanical-engineering
Applied Mathematics,14.70 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-004-dynamics-and-control-ii-spring-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-004-spring-2008/2-004-spring-2008.zip,Mathematics,Dynamics and Control II,Mechanical Engineering,2-004-dynamics-and-control-ii-spring-2008,mechanical-engineering
Computation,54.85 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-161-signal-processing-continuous-and-discrete-fall-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-161-fall-2008/2-161-fall-2008.zip,Mathematics,Signal Processing: Continuous and Discrete,Mechanical Engineering,2-161-signal-processing-continuous-and-discrete-fall-2008,mechanical-engineering
Differential Equations,26.37 MB,,https://ocw.mit.edu/courses/economics/14-11-insights-from-game-theory-into-social-behavior-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-11-fall-2013/14-11-fall-2013.zip,Mathematics,Insights from Game Theory into Social Behavior,Economics,14-11-insights-from-game-theory-into-social-behavior-fall-2013,economics
Applied Mathematics,40.45 MB,,https://ocw.mit.edu/courses/mathematics/18-s096-topics-in-mathematics-with-applications-in-finance-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-s096-fall-2013/18-s096-fall-2013.zip,Mathematics,Topics in Mathematics with Applications in Finance,Mathematics,18-s096-topics-in-mathematics-with-applications-in-finance-fall-2013,mathematics
Probability and Statistics,23.99 MB,,https://ocw.mit.edu/courses/physics/8-333-statistical-mechanics-i-statistical-mechanics-of-particles-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/8/8-333-fall-2013/8-333-fall-2013.zip,Mathematics,Statistical Mechanics I:  Statistical Mechanics of Particles,Physics,8-333-statistical-mechanics-i-statistical-mechanics-of-particles-fall-2013,physics
Differential Equations,34.02 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-092-finite-element-analysis-of-solids-and-fluids-i-fall-2009/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-092-fall-2009/2-092-fall-2009.zip,Mathematics,Finite Element Analysis of Solids and Fluids I,Mechanical Engineering,2-092-finite-element-analysis-of-solids-and-fluids-i-fall-2009,mechanical-engineering
Probability and Statistics,32.75 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-852-manufacturing-systems-analysis-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-852-spring-2010/2-852-spring-2010.zip,Mathematics,Manufacturing Systems Analysis,Mechanical Engineering,2-852-manufacturing-systems-analysis-spring-2010,mechanical-engineering
