sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
The Developing World,25.65 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-715-spring-2007/ec-715-spring-2007.zip,Society,D-Lab: Disseminating Innovations for the Common Good,Edgerton Center,ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007,edgerton-center
The Developing World,25.74 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-722-spring-2010/ec-722-spring-2010.zip,Society,Special Topics at Edgerton Center:Developing World Prosthetics,Edgerton Center,ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010,edgerton-center
Computation,13.92 MB,,https://ocw.mit.edu/courses/mathematics/18-405j-advanced-complexity-theory-spring-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-405j-spring-2016/18-405j-spring-2016.zip,Mathematics,Advanced Complexity Theory,Mathematics,18-405j-advanced-complexity-theory-spring-2016,mathematics
Education Policy,5.12 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-126j-economics-of-education-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-126j-spring-2007/11-126j-spring-2007.zip,Teaching and Education,Economics of Education,Urban Studies and Planning,11-126j-economics-of-education-spring-2007,urban-studies-and-planning
Climate,43.79 MB,,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-340-global-warming-science-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-340-spring-2012/12-340-spring-2012.zip,Energy,Global Warming Science,"Earth, Atmospheric, and Planetary Sciences",12-340-global-warming-science-spring-2012,earth-atmospheric-and-planetary-sciences
Information Technology,27.94 MB,,https://ocw.mit.edu/resources/res-ll-005-d4m-signal-processing-on-databases-fall-2012/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-ll-005-fall-2012/res-ll-005-fall-2012.zip,Business,D4M: Signal Processing on Databases,D4M: Signal Processing on Databases,res-ll-005-d4m-signal-processing-on-databases-fall-2012,resources
Architecture,11.33 MB,Architectural Design,https://ocw.mit.edu/courses/architecture/4-520-computational-design-i-theory-and-applications-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-520-fall-2005/4-520-fall-2005.zip,Fine Arts,Computational Design I: Theory and Applications,Architecture,4-520-computational-design-i-theory-and-applications-fall-2005,architecture
Cognitive Science,29.40 MB,,https://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-85-infant-and-early-childhood-cognition-fall-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/9/9-85-fall-2012/9-85-fall-2012.zip,Science,Infant and Early Childhood Cognition,Brain and Cognitive Sciences,9-85-infant-and-early-childhood-cognition-fall-2012,brain-and-cognitive-sciences
Public Health,45.21 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-811-principles-and-practice-of-assistive-technology-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-811-fall-2014/6-811-fall-2014.zip,Health and Medicine,Principles and Practice of Assistive Technology,Electrical Engineering and Computer Science,6-811-principles-and-practice-of-assistive-technology-fall-2014,electrical-engineering-and-computer-science
Computer Science,27.94 MB,Data Mining,https://ocw.mit.edu/resources/res-ll-005-d4m-signal-processing-on-databases-fall-2012/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-ll-005-fall-2012/res-ll-005-fall-2012.zip,Engineering,D4M: Signal Processing on Databases,D4M: Signal Processing on Databases,res-ll-005-d4m-signal-processing-on-databases-fall-2012,resources
Linguistics,25.41 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-345-automatic-speech-recognition-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-345-spring-2003/6-345-spring-2003.zip,Humanities,Automatic Speech Recognition,Electrical Engineering and Computer Science,6-345-automatic-speech-recognition-spring-2003,electrical-engineering-and-computer-science
Sociology,25.65 MB,Community Development,https://ocw.mit.edu/courses/edgerton-center/ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-715-spring-2007/ec-715-spring-2007.zip,Social Science,D-Lab: Disseminating Innovations for the Common Good,Edgerton Center,ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007,edgerton-center
African-American Studies,12.53 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-947-race-immigration-and-planning-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-947-spring-2005/11-947-spring-2005.zip,Society,"Race, Immigration, and Planning",Urban Studies and Planning,11-947-race-immigration-and-planning-spring-2005,urban-studies-and-planning
Computation,12.67 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-856j-randomized-algorithms-fall-2002/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-856j-fall-2002/6-856j-fall-2002.zip,Mathematics,Randomized Algorithms,Electrical Engineering and Computer Science,6-856j-randomized-algorithms-fall-2002,electrical-engineering-and-computer-science
Educational Technology,24.89 MB,,https://ocw.mit.edu/courses/global-studies-and-languages/21g-034-media-education-and-the-marketplace-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21G/21g-034-fall-2005/21g-034-fall-2005.zip,Teaching and Education,Media Education and the Marketplace,Global Studies and Languages,21g-034-media-education-and-the-marketplace-fall-2005,global-studies-and-languages
Electricity,53.59 MB,,https://ocw.mit.edu/courses/institute-for-data-systems-and-society/ids-505j-engineering-economics-and-regulation-of-the-electric-power-sector-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/IDS/ids-505j-spring-2010/ids-505j-spring-2010.zip,Energy,"Engineering, Economics and Regulation of the Electric Power Sector (formerly ESD.934)","Institute for Data, Systems, and Society",ids-505j-engineering-economics-and-regulation-of-the-electric-power-sector-spring-2010,institute-for-data-systems-and-society
Health Care Management,33.23 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-232-business-model-innovation-global-health-in-frontier-markets-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-232-fall-2013/15-232-fall-2013.zip,Business,Business Model Innovation: Global Health in Frontier Markets,Sloan School of Management,15-232-business-model-innovation-global-health-in-frontier-markets-fall-2013,sloan-school-of-management
Visual Arts,2.98 MB,Photography,https://ocw.mit.edu/courses/architecture/4-a21-stories-without-words-photographing-the-first-year-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-a21-fall-2006/4-a21-fall-2006.zip,Fine Arts,Stories Without Words: Photographing the First Year,Architecture,4-a21-stories-without-words-photographing-the-first-year-fall-2006,architecture
Physics,18.82 MB,Condensed Matter Physics,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-730-physics-for-solid-state-applications-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-730-spring-2003/6-730-spring-2003.zip,Science,Physics for Solid-State Applications,Electrical Engineering and Computer Science,6-730-physics-for-solid-state-applications-spring-2003,electrical-engineering-and-computer-science
Public Health,33.23 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-232-business-model-innovation-global-health-in-frontier-markets-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-232-fall-2013/15-232-fall-2013.zip,Health and Medicine,Business Model Innovation: Global Health in Frontier Markets,Sloan School of Management,15-232-business-model-innovation-global-health-in-frontier-markets-fall-2013,sloan-school-of-management
Computer Science,45.21 MB,Human-Computer Interfaces,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-811-principles-and-practice-of-assistive-technology-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-811-fall-2014/6-811-fall-2014.zip,Engineering,Principles and Practice of Assistive Technology,Electrical Engineering and Computer Science,6-811-principles-and-practice-of-assistive-technology-fall-2014,electrical-engineering-and-computer-science
Linguistics,32.09 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-863j-spring-2003/6-863j-spring-2003.zip,Humanities,Natural Language and the Computer Representation of Knowledge,Electrical Engineering and Computer Science,6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003,electrical-engineering-and-computer-science
Psychology,29.40 MB,,https://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-85-infant-and-early-childhood-cognition-fall-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/9/9-85-fall-2012/9-85-fall-2012.zip,Social Science,Infant and Early Childhood Cognition,Brain and Cognitive Sciences,9-85-infant-and-early-childhood-cognition-fall-2012,brain-and-cognitive-sciences
The Developing World,7.87 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-479-water-and-sanitation-infrastructure-planning-in-developing-countries-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-479-spring-2005/11-479-spring-2005.zip,Society,Water and Sanitation Infrastructure Planning in Developing Countries,Urban Studies and Planning,11-479-water-and-sanitation-infrastructure-planning-in-developing-countries-spring-2005,urban-studies-and-planning
Discrete Mathematics,33.82 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-231-dynamic-programming-and-stochastic-control-fall-2015/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-231-fall-2015/6-231-fall-2015.zip,Mathematics,Dynamic Programming and Stochastic Control,Electrical Engineering and Computer Science,6-231-dynamic-programming-and-stochastic-control-fall-2015,electrical-engineering-and-computer-science
Curriculum and Teaching,24.62 MB,,https://ocw.mit.edu/resources/res-2-005-girls-who-build-make-your-own-wearables-workshop-spring-2015/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-2-005-spring-2015/res-2-005-spring-2015.zip,Teaching and Education,Girls Who Build: Make Your Own Wearables Workshop,Girls Who Build: Make Your Own Wearables Workshop,res-2-005-girls-who-build-make-your-own-wearables-workshop-spring-2015,resources
Climate,20.37 MB,,https://ocw.mit.edu/resources/res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2017/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-env-001-january-iap-2017/res-env-001-january-iap-2017.zip,Energy,Climate Action Hands-On: Harnessing Science with Communities to Cut Carbon,Climate Action Hands-On: Harnessing Science with Communities to Cut Carbon,res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2017,resources
Entrepreneurship,25.65 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-715-spring-2007/ec-715-spring-2007.zip,Business,D-Lab: Disseminating Innovations for the Common Good,Edgerton Center,ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007,edgerton-center
Architecture,40.08 MB,Environmental Design,https://ocw.mit.edu/courses/architecture/4-303-the-production-of-space-art-architecture-and-urbanism-in-dialogue-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-303-fall-2006/4-303-fall-2006.zip,Fine Arts,"The Production of Space: Art, Architecture and Urbanism in Dialogue",Architecture,4-303-the-production-of-space-art-architecture-and-urbanism-in-dialogue-fall-2006,architecture
Cognitive Science,15.93 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-825-techniques-in-artificial-intelligence-sma-5504-fall-2002/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-825-fall-2002/6-825-fall-2002.zip,Science,Techniques in Artificial Intelligence (SMA 5504),Electrical Engineering and Computer Science,6-825-techniques-in-artificial-intelligence-sma-5504-fall-2002,electrical-engineering-and-computer-science
Biomedicine,25.74 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-722-spring-2010/ec-722-spring-2010.zip,Health and Medicine,Special Topics at Edgerton Center:Developing World Prosthetics,Edgerton Center,ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010,edgerton-center
Computer Science,78.86 MB,Computer Design and Engineering,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-858-computer-systems-security-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-858-fall-2014/6-858-fall-2014.zip,Engineering,Computer Systems Security,Electrical Engineering and Computer Science,6-858-computer-systems-security-fall-2014,electrical-engineering-and-computer-science
Linguistics,14.17 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-541j-speech-communication-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-541j-spring-2004/6-541j-spring-2004.zip,Humanities,Speech Communication,Electrical Engineering and Computer Science,6-541j-speech-communication-spring-2004,electrical-engineering-and-computer-science
Economics,31.96 MB,Financial Economics,https://ocw.mit.edu/courses/economics/14-54-international-trade-fall-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-54-fall-2016/14-54-fall-2016.zip,Social Science,International Trade,Economics,14-54-international-trade-fall-2016,economics
Middle Eastern Studies,6.21 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-948-the-politics-of-reconstructing-iraq-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-948-spring-2005/11-948-spring-2005.zip,Society,The Politics of Reconstructing Iraq,Urban Studies and Planning,11-948-the-politics-of-reconstructing-iraq-spring-2005,urban-studies-and-planning
Probability and Statistics,11.09 MB,,https://ocw.mit.edu/courses/economics/14-387-applied-econometrics-mostly-harmless-big-data-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-387-fall-2014/14-387-fall-2014.zip,Mathematics,Applied Econometrics: Mostly Harmless Big Data,Economics,14-387-applied-econometrics-mostly-harmless-big-data-fall-2014,economics
Curriculum and Teaching,25.72 MB,,https://ocw.mit.edu/resources/res-2-006-girls-who-build-cameras-summer-2016/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-2-006-summer-2016/res-2-006-summer-2016.zip,Teaching and Education,Girls Who Build Cameras,Girls Who Build Cameras,res-2-006-girls-who-build-cameras-summer-2016,resources
Buildings,28.06 MB,,https://ocw.mit.edu/courses/architecture/4-401-introduction-to-building-technology-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-401-spring-2006/4-401-spring-2006.zip,Energy,Introduction to Building Technology,Architecture,4-401-introduction-to-building-technology-spring-2006,architecture
Management,21.14 MB,,https://ocw.mit.edu/courses/engineering-systems-division/esd-36-system-project-management-fall-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/ESD/esd-36-fall-2012/esd-36-fall-2012.zip,Business,System Project Management,Engineering Systems Division,esd-36-system-project-management-fall-2012,engineering-systems-division
Architecture,3.51 MB,Architectural Design,https://ocw.mit.edu/courses/architecture/4-580-inquiry-into-computation-and-design-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-580-fall-2006/4-580-fall-2006.zip,Fine Arts,Inquiry into Computation and Design,Architecture,4-580-inquiry-into-computation-and-design-fall-2006,architecture
Physics,7.41 MB,"Atomic, Molecular, Optical Physics",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-635-advanced-electromagnetism-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-635-spring-2003/6-635-spring-2003.zip,Science,Advanced Electromagnetism,Electrical Engineering and Computer Science,6-635-advanced-electromagnetism-spring-2003,electrical-engineering-and-computer-science
Speech Pathology,14.17 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-541j-speech-communication-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-541j-spring-2004/6-541j-spring-2004.zip,Health and Medicine,Speech Communication,Electrical Engineering and Computer Science,6-541j-speech-communication-spring-2004,electrical-engineering-and-computer-science
Computer Science,13.92 MB,Theory of Computation,https://ocw.mit.edu/courses/mathematics/18-405j-advanced-complexity-theory-spring-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-405j-spring-2016/18-405j-spring-2016.zip,Engineering,Advanced Complexity Theory,Mathematics,18-405j-advanced-complexity-theory-spring-2016,mathematics
History,46.15 MB,World History,https://ocw.mit.edu/courses/history/21h-009-the-world-1400-present-spring-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21H/21h-009-spring-2014/21h-009-spring-2014.zip,Humanities,The World: 1400-Present,History,21h-009-the-world-1400-present-spring-2014,history
Public Administration,78.05 MB,Environmental Policy,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-103-science-and-policy-of-natural-hazards-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-103-spring-2010/12-103-spring-2010.zip,Social Science,Science and Policy of Natural Hazards,"Earth, Atmospheric, and Planetary Sciences",12-103-science-and-policy-of-natural-hazards-spring-2010,earth-atmospheric-and-planetary-sciences
The Developing World,45.33 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-479j-water-and-sanitation-infrastructure-in-developing-countries-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-479j-spring-2007/11-479j-spring-2007.zip,Society,Water and Sanitation Infrastructure in Developing Countries,Urban Studies and Planning,11-479j-water-and-sanitation-infrastructure-in-developing-countries-spring-2007,urban-studies-and-planning
Computation,172.76 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-890-algorithmic-lower-bounds-fun-with-hardness-proofs-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-890-fall-2014/6-890-fall-2014.zip,Mathematics,Algorithmic Lower Bounds: Fun with Hardness Proofs,Electrical Engineering and Computer Science,6-890-algorithmic-lower-bounds-fun-with-hardness-proofs-fall-2014,electrical-engineering-and-computer-science
Education Policy,15.50 MB,,https://ocw.mit.edu/courses/economics/14-771-development-economics-microeconomic-issues-and-policy-models-fall-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-771-fall-2008/14-771-fall-2008.zip,Teaching and Education,Development Economics: Microeconomic Issues and Policy Models,Economics,14-771-development-economics-microeconomic-issues-and-policy-models-fall-2008,economics
Buildings,27.56 MB,,https://ocw.mit.edu/courses/architecture/4-430-daylighting-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-430-spring-2012/4-430-spring-2012.zip,Energy,Daylighting,Architecture,4-430-daylighting-spring-2012,architecture
Health Care Management,42.47 MB,,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/16/16-660j-january-iap-2012/16-660j-january-iap-2012.zip,Business,Introduction to Lean Six Sigma Methods,Aeronautics and Astronautics,16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,aeronautics-and-astronautics
Architecture,4.69 MB,Architectural Design,https://ocw.mit.edu/courses/architecture/4-191-introduction-to-integrated-design-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-191-fall-2006/4-191-fall-2006.zip,Fine Arts,Introduction to Integrated Design,Architecture,4-191-introduction-to-integrated-design-fall-2006,architecture
Cognitive Science,32.09 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-863j-spring-2003/6-863j-spring-2003.zip,Science,Natural Language and the Computer Representation of Knowledge,Electrical Engineering and Computer Science,6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003,electrical-engineering-and-computer-science
Anatomy and Physiology,17.05 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-551j-acoustics-of-speech-and-hearing-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-551j-fall-2004/6-551j-fall-2004.zip,Health and Medicine,Acoustics of Speech and Hearing,Electrical Engineering and Computer Science,6-551j-acoustics-of-speech-and-hearing-fall-2004,electrical-engineering-and-computer-science
Mechanical Engineering,25.74 MB,Mechanical Design,https://ocw.mit.edu/courses/edgerton-center/ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-722-spring-2010/ec-722-spring-2010.zip,Engineering,Special Topics at Edgerton Center:Developing World Prosthetics,Edgerton Center,ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010,edgerton-center
Literature,6.59 MB,Rhetoric,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-445-oral-communication-in-the-earth-atmospheric-and-planetary-sciences-fall-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-445-fall-2010/12-445-fall-2010.zip,Humanities,"Oral Communication in the Earth, Atmospheric, and Planetary Sciences","Earth, Atmospheric, and Planetary Sciences",12-445-oral-communication-in-the-earth-atmospheric-and-planetary-sciences-fall-2010,earth-atmospheric-and-planetary-sciences
Communication,6.59 MB,,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-445-oral-communication-in-the-earth-atmospheric-and-planetary-sciences-fall-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-445-fall-2010/12-445-fall-2010.zip,Social Science,"Oral Communication in the Earth, Atmospheric, and Planetary Sciences","Earth, Atmospheric, and Planetary Sciences",12-445-oral-communication-in-the-earth-atmospheric-and-planetary-sciences-fall-2010,earth-atmospheric-and-planetary-sciences
The Developing World,24.89 MB,,https://ocw.mit.edu/courses/global-studies-and-languages/21g-034-media-education-and-the-marketplace-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21G/21g-034-fall-2005/21g-034-fall-2005.zip,Society,Media Education and the Marketplace,Global Studies and Languages,21g-034-media-education-and-the-marketplace-fall-2005,global-studies-and-languages
Calculus,174.71 MB,,https://ocw.mit.edu/courses/mathematics/18-01sc-single-variable-calculus-fall-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-01sc-fall-2010/18-01sc-fall-2010.zip,Mathematics,Single Variable Calculus,Mathematics,18-01sc-single-variable-calculus-fall-2010,mathematics
Climate,22.65 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-023j-global-climate-change-economics-science-and-policy-spring-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-023j-spring-2008/15-023j-spring-2008.zip,Energy,"Global Climate Change: Economics, Science, and Policy",Sloan School of Management,15-023j-global-climate-change-economics-science-and-policy-spring-2008,sloan-school-of-management
Operations Management,16.13 MB,,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-863j-system-safety-spring-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/16/16-863j-spring-2016/16-863j-spring-2016.zip,Business,System Safety (formerly ESD.863J),Aeronautics and Astronautics,16-863j-system-safety-spring-2016,aeronautics-and-astronautics
Architecture,25.51 MB,Architectural Design,https://ocw.mit.edu/courses/architecture/4-493-natural-light-in-design-january-iap-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-493-january-iap-2006/4-493-january-iap-2006.zip,Fine Arts,Natural Light in Design,Architecture,4-493-natural-light-in-design-january-iap-2006,architecture
Physics,44.25 MB,Condensed Matter Physics,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-772-compound-semiconductor-devices-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-772-spring-2003/6-772-spring-2003.zip,Science,Compound Semiconductor Devices,Electrical Engineering and Computer Science,6-772-compound-semiconductor-devices-spring-2003,electrical-engineering-and-computer-science
Pharmacology and Toxicology,10.13 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-136j-principles-and-practice-of-drug-development-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-136j-fall-2013/15-136j-fall-2013.zip,Health and Medicine,Principles and Practice of Drug Development (formerly ESD.691J),Sloan School of Management,15-136j-principles-and-practice-of-drug-development-fall-2013,sloan-school-of-management
Electrical Engineering,13.47 MB,Electronics,https://ocw.mit.edu/courses/edgerton-center/ec-s06-practical-electronics-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-s06-fall-2004/ec-s06-fall-2004.zip,Engineering,Practical Electronics,Edgerton Center,ec-s06-practical-electronics-fall-2004,edgerton-center
Literature,6.37 MB,Rhetoric,https://ocw.mit.edu/courses/comparative-media-studies-writing/21w-747-classical-rhetoric-and-modern-political-discourse-fall-2009/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/CMS-W/21w-747-fall-2009/21w-747-fall-2009.zip,Humanities,Classical Rhetoric and Modern Political Discourse,Comparative Media Studies/Writing,21w-747-classical-rhetoric-and-modern-political-discourse-fall-2009,comparative-media-studies-writing
Geography,35.77 MB,,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-540-principles-of-the-global-positioning-system-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-540-spring-2012/12-540-spring-2012.zip,Social Science,Principles of the Global Positioning System,"Earth, Atmospheric, and Planetary Sciences",12-540-principles-of-the-global-positioning-system-spring-2012,earth-atmospheric-and-planetary-sciences
African-American Studies,7.74 MB,,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-236-topics-in-social-theory-and-practice-race-and-racism-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-236-fall-2014/24-236-fall-2014.zip,Society,Topics in Social Theory and Practice: Race and Racism,Linguistics and Philosophy,24-236-topics-in-social-theory-and-practice-race-and-racism-fall-2014,linguistics-and-philosophy
Probability and Statistics,22.29 MB,,https://ocw.mit.edu/courses/physics/8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/8/8-334-spring-2014/8-334-spring-2014.zip,Mathematics,Statistical Mechanics II: Statistical Physics of Fields,Physics,8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2014,physics
Electricity,239.52 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-007-electromagnetic-energy-from-motors-to-lasers-spring-2011/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-007-spring-2011/6-007-spring-2011.zip,Energy,Electromagnetic Energy: From Motors to Lasers,Electrical Engineering and Computer Science,6-007-electromagnetic-energy-from-motors-to-lasers-spring-2011,electrical-engineering-and-computer-science
